Ime jedi,Avtor,Cas priprave,Cas kuhanja,Skupen cas,Dolzina navodil,Stevilo oseb,Energijska vrednost,Beljakovine,Ogljikovi hidrati,Mascobe,Vlaknine,Vitamin D,CSV
Svinjska ribica s pečenim korenjem,Su. S.,10,48,58,761,4,417.69,0.17,11.47,5.4,1.85,0.0,svinjska-ribica-s-pecenim-korenjem
Limonine cheesecake rezine,M. J.,30,50,80,2180,8,1341.64,5.74,31.45,18.63,0.79,0.24,limonine-cheesecake-rezine
Pastirska pita,M.J.,35,110,145,2004,8,646.89,7.6,8.97,9.12,1.19,0.03,goveja-pita-s-krompirjevim-pokrovom
Oslič s krompirjem in zelenjavo iz pečice,Su.S.,10,45,55,654,4,349.99,6.24,9.18,1.87,1.25,0.0,oslic-v-pecici
Piščančji zrezki v gobovi omaki,M. J.,10,30,40,1506,4,531.49,10.52,2.74,7.68,0.37,0.0,piscancji-zrezki-v-gobovi-omaki
Golaževa juha,M. J.,20,85,105,1356,5,446.27,9.39,7.46,3.31,1.1,0.0,golazeva-juha
Zelenjavna enolončnica s čičeriko,M. J.,15,30,45,526,4,411.54,3.0,17.56,1.22,3.45,0.0,zelenjavna-enoloncnica
Puhasti ameriški krofi,Su.S.,165,15,180,1664,10,1530.97,10.06,51.01,12.12,2.06,0.36,puhasti-ameriski-krofi
Piščančja obara z zdrobovimi žličniki,M. J.,15,60,75,2222,4,371.79,6.4,4.03,4.54,0.47,0.04,piscancja-obara-z-zdrobovimi-zlicniki
Kremna juha iz pečene cvetače,M. J.,15,55,70,1737,6,268.74,1.08,5.49,3.6,1.89,0.0,kremna-juha-iz-pecene-cvetace
Meso iz juhe v omaki,Su. S.,10,25,35,547,4,370.49,7.53,4.88,3.56,0.74,0.0,meso-iz-juhe-v-omaki
Telečji zrezki v čebulni omaki,Su.S.,10,60,70,648,4,364.43,9.72,7.11,1.53,0.72,0.0,telecji-zrezki-v-cebulni-omaki
Italijanski krompirjevi kroketi,M. J.,40,60,100,1820,4,506.43,5.28,15.12,3.44,1.76,0.16,italijanski-krompirjevi-kroketi
Zapečeni njoki z bolonjsko omako,Su.S.,5,20,25,614,4,827.76,11.44,6.08,13.52,0.8,0.0,zapeceni-njoki-z-bolonjsko-omako
Salzburški žličniki,M. J.,15,12,27,1081,4,915.46,7.16,30.23,6.63,0.0,0.53,salzburski-zlicniki
Zapečeno kislo zelje s klobasami,Sanja Sirk,10,50,60,960,4,809.35,6.71,3.65,16.03,0.82,0.15,zapeceno-kislo-zelje-s-klobaso
Krhki flancati,S. M.,50,20,70,988,8,1426.79,7.47,42.31,13.07,1.04,0.62,krhki-flancati
Ričet s prekajenim svinjskim vratom,M. J.,5,75,80,1431,4,744.79,10.41,28.65,1.99,6.43,0.0,ricet-s-prekajenim-svinjskim-vratom
Mehki krofi iz pečice,Su. S.,60,12,72,1355,12,1507.45,10.15,53.37,9.15,2.13,0.38,mehki-krofi-iz-pecice
Vratovina v čebulni omaki,M. J.,10,40,50,1722,4,603.58,12.08,3.28,8.28,0.35,0.0,vratovina-v-cebulni-omaki
Kruhova štruca (rolada),M. J.,20,35,55,941,4,911.36,8.38,27.89,6.77,1.77,0.32,kruhova-struca-rolada
Pečeni piščanec v mleku,M. J.,5,120,125,947,6,733.33,15.34,6.17,9.12,0.9,0.0,peceni-piscanec-v-mleku
Beneške miške z vanilijevo kremo,Su.S.,30,40,70,1420,8,1301.39,7.32,45.72,9.6,0.51,0.76,miske-z-vanilijevo-kremo
Kvašen cmok z marmelado (germknödel),M. J.,45,15,60,2112,8,1505.53,8.6,49.84,12.89,2.97,0.2,kvaseni-cmoki-z-marmelado-germknodel
Palačinka iz pečice,M. J.,10,25,35,1294,4,1019.85,10.2,14.8,13.82,0.33,1.32,palacinka-iz-pecice
Solata z radičem; krompirjem in piščancem,Su.S.,10,30,40,967,4,568.02,9.36,6.48,7.2,0.8,0.08,solata-z-radicem-krompirjem-in-piscancem
Pečen piščanec in krompir v paradižnikovi omaki,M. J.,10,55,65,1311,4,523.08,6.89,9.17,6.11,1.17,0.0,pecen-piscanec-in-krompir-v-paradiznikovi-omaki
Njoki v kremni omaki z lososom,Sanja Sirk,2,20,22,1135,4,585.93,6.33,11.67,7.03,1.41,0.0,njoki-v-kremni-omaki-z-lososom
Zapečene palačinke z lešnikovim nadevom,M.J.,15,30,45,1483,6,1693.47,7.75,27.73,28.98,1.75,0.5,zapecene-palacinke-z-lesnikovim-nadevom
Segedin golaž s češkimi cmoki,M.J.,60,80,140,2022,4,784.0,8.31,20.36,6.96,1.61,0.33,segedin-golaz-s-ceskimi-cmoki
Gratinirana cvetača,M.J.,12,40,52,670,4,435.47,5.69,4.0,6.32,1.33,0.18,gratinirana-cvetaca
Čokoladne rezine z banano,Kristina Turk,40,25,65,1567,15,1724.73,6.8,51.59,18.53,3.24,0.31,cokoladne-rezine-z-banano
Zapečeni skutino-špinačni cmoki (gnudi) v paradižnikovi omaki,M. J.,15,35,50,1380,4,516.01,8.85,9.34,4.33,0.74,0.06,zapeceni-skutino-spinacni-cmoki-v-paradiznikovi-omaki
Karpati torta s sadjem,M. J.,60,45,105,2825,10,1097.71,4.09,21.69,16.89,0.79,0.55,karpati-torta-s-sadjem
Porova kremna juha,Sanja Sirk,10,30,40,1004,4,637.68,1.41,13.25,9.84,1.2,0.0,porova-juha
Hitra mesna pita brez testa,Su.S.,15,30,45,713,4,861.82,12.26,10.75,11.29,0.32,0.54,hiter-mesni-burek-brez-testa
Rafaelo krofi,Kristina Turk,120,30,150,2707,25,1675.36,7.97,56.28,14.77,2.96,0.38,rafaelo-krofi
Zelenjavna juha s klobaso,M.J.,10,27,37,940,4,378.07,2.28,9.98,3.89,1.39,0.0,zelenjavna-juha-s-klobaso
Svinjski ragu po italijansko,M. J.,15,155,170,1677,8,579.19,8.26,3.81,9.17,0.55,0.46,svinjski-ragu-po-italijansko
Topli sendvič s tuno,M. J.,10,10,20,964,2,862.82,10.67,13.56,10.22,0.67,0.67,topli-sendvic-s-tuno-in-koruzo
Limonin kolač z rikoto,M. J.,10,55,65,954,12,1247.21,7.33,27.62,16.7,0.33,0.41,limonin-kolac-z-rikoto
Pečena jajca v začinjeni omaki s fižolom,M. J.,10,40,50,1423,4,407.86,4.99,8.16,4.32,1.44,0.48,pecena-jajca-v-zacinjeni-omaki-s-fizolom
Hitro in sočno skutino pecivo,Su.S.,15,35,50,770,12,1118.05,7.42,30.19,11.89,0.36,0.22,hitro-in-socno-skutno-pecivo-skutina-pita
Zapečena prosena kaša s suhimi slivami,M.J.,15,65,80,939,6,674.13,4.91,20.21,6.14,0.98,0.86,zapecena-prosena-kasa-s-suhimi-slivami
Krompirjeva musaka,M. J.,15,60,75,1148,4,525.38,5.1,10.64,6.37,1.34,0.0,krompirjev-narastek-z-mletim-mesom
Hitre miške z jabolkom in rozinami,M. J.,10,20,30,1602,4,1073.07,6.99,41.09,6.04,1.42,0.47,hitre-miske-z-jabolkom-in-rozinami
Bananine rezine s skutino kremo,Su.S.,40,20,60,1100,8,873.24,9.35,26.53,6.46,1.27,0.25,bananine-rezine-s-skutino-kremo
Ajdov kruh z orehi,Su.S.,90,45,135,982,8,1679.0,12.17,59.69,12.86,5.05,0.0,ajdov-kruh-z-orehi
Hrustljavi zdrobovi kroketi,Sanja Sirk,20,20,40,901,4,822.49,6.47,21.97,8.01,0.72,0.72,hrustljavi-kroketi
Njoki z omako carbonara,M.J.,5,20,25,953,4,1597.33,10.02,55.26,12.66,3.3,0.44,njoki-z-omako-carbonara
Piščančji paprikaš s smetano,M. J.,10,60,70,1546,4,680.53,13.3,2.92,9.79,0.45,0.0,piscancji-paprikas-s-smetano
Čokoladno-kavni mousse,M. J.,20,5,25,1262,6,1976.48,4.45,58.98,23.37,4.45,0.56,cokoladno-kavni-mousse
Mlečno testo za pico,M.J.,90,0,90,923,4,1621.84,10.37,69.91,5.54,2.68,0.0,mlecno-testo-za-pico
Hitro skutino pecivo brez moke,M.J.,10,45,55,892,8,767.64,9.86,17.6,6.76,1.69,0.56,hitro-skutino-pecivo-brez-moke
Hitro skutino pecivo brez moke,M.J.,10,45,55,892,8,767.64,9.86,17.6,6.76,1.69,0.56,hitro-skutino-pecivo-brez-moke
Piščanec v smetanovi omaki,Su.S.,5,20,25,582,4,826.42,18.65,0.0,12.5,0.0,0.0,piscanec-v-smetanovi-omaki
Kruhovi cmoki s kremasto gobovo omako,M. J.,15,30,45,2212,4,971.15,8.97,39.77,3.07,2.72,0.57,kruhovi-cmoki-s-kremasto-gobovo-omako
Kokosovi razpokančki z limono,M. J.,39,15,54,1521,8,1260.05,6.64,41.44,12.07,0.8,0.4,kokosovi-razpokancki
Praznična sladica s penino (brez peke),Su.S.,15,7,22,759,4,1501.26,16.02,54.92,7.78,0.0,1.37,praznicna-sladica-s-penino-brez-peke
Pečen losos s smetanovo omako,Su.S.,10,20,30,788,4,954.79,15.18,6.96,14.95,0.68,0.57,pecen-losos-s-smetanovo-omako
Torta iz beljakov in pudinga,Sanja Sirk,20,35,55,1218,8,1550.93,5.91,37.28,22.51,1.83,0.1,torta-iz-beljakov-in-pudinga
Sarma iz pečice,Sanja Sirk,40,300,340,1467,8,943.7,13.44,8.63,14.18,0.2,0.13,sarma-iz-pecice
Pomarančne rezine z mascarponejem,Sanja Sirk,40,35,75,1714,8,1129.97,8.14,24.31,14.43,0.22,0.98,pomarancne-rezine-z-mascarponejem
Sočna pečenka z zelenjavno omako,Sanja Sirk,15,180,195,1002,6,697.39,14.72,1.38,10.32,0.17,0.0,socna-pecenka-z-zelenjavno-omako
Kvašeni pujski s hrenovkami,Sanja Sirk,100,25,125,928,8,1444.11,11.11,52.72,7.8,1.89,0.24,kvaseni-pujski-s-hrenovkami-veseli-prasicki
Čokoladni piškoti s kremo,M. J.,60,25,85,2141,10,2129.4,5.51,51.58,30.14,3.8,0.12,cokoladni-piskoti-s-kremo
Fileji postrvi v masleni česnovi omaki,M. J.,10,15,25,1484,4,804.04,16.67,0.17,12.33,0.0,2.5,fileji-postrvi-v-masleni-cesnovi-omaki
Božični punč,M. J.,5,10,15,672,4,1466.91,0.0,89.64,0.0,7.97,0.0,bozicni-punc
Košarice z jabolki in rumovo kremo z belo čokolado,Kristina Turk,60,20,80,1743,12,1105.08,2.91,35.97,11.44,2.18,0.0,kosarice-z-jabolki-in-rumovo-kremo
Božična tortica v kozarcu (brez peke),M. J.,30,10,40,1587,8,1259.38,4.86,32.35,16.18,3.16,0.0,bozicna-tortica-v-kozarcu-brez-peke
Njoki v smetanovi omaki s pršutom,M. J.,5,15,20,835,4,491.79,6.69,10.24,4.64,1.37,0.0,njoki-v-smetanovi-omaki-s-prsutom
Praznični marmorni kolač,Su.S.,30,50,80,1403,12,1184.91,7.24,40.6,9.3,1.79,0.72,praznicni-marmorni-kolac
Slana božična drevesa,Su.S.,10,25,35,683,5,1419.0,7.45,33.62,18.3,0.64,0.21,slana-bozicna-drevesa
Zapečeno kislo zelje s piščancem (podvarak),M. J.,5,120,125,1313,4,465.97,8.74,2.35,6.67,1.03,0.0,zapeceno-kislo-zelje-s-piscancem-podvarak
Božični kolač s suhim sadjem,M. J.,30,65,95,1454,8,1600.25,4.51,56.82,15.91,2.45,0.24,bozicni-kolac-s-suhim-sadjem
Praznični cheesecake v kozarcu,M.J.,20,0,20,747,6,1144.45,6.3,35.1,11.46,0.99,0.0,praznicni-cheesecake-v-kozarcu
Sončna skutina pogača (štajerska gibanica),Sanja Sirk,90,50,140,1445,12,837.85,9.31,28.84,4.06,0.75,0.23,stajerska-gibanica
Svinjska rolada z zeljem in slanino,M. J.,15,105,120,1560,6,700.69,9.6,2.9,11.92,0.84,0.58,svinjska-rolada-z-zeljem-in-slanino
Tiramisu kroglice,M. J.,60,0,60,1194,8,1509.84,6.67,35.55,20.67,1.11,0.0,tiramisu-kroglice
Sočna makova torta s čokolado,M. J.,20,35,55,1858,12,1765.02,8.19,27.81,31.06,4.64,0.77,socna-makova-torta-s-cokolado
Praznična sladica v kozarcu,M. J.,140,15,155,2180,6,1209.59,3.35,29.92,16.63,2.75,0.36,praznicna-sladica-v-kozarcu
Kokosovi rogljički s čokolado,M. J.,80,15,95,918,12,1964.51,5.69,50.34,26.65,1.54,0.24,kokosovi-rogljicki-s-cokolado
Čokoladno-pomarančna smetanova torta,M.J.,40,35,75,1890,12,1163.49,7.93,38.56,9.75,1.5,0.43,cokoladno-pomarancna-smetanova-torta
Brezglutenski piškoti alfajores,Su.S.,30,8,38,1020,4,1616.66,1.4,59.43,15.78,0.0,0.43,brezglutenski-piskoti-alfajores
Brstični ohrovt z mandlji in čebulo,Su. S.,15,25,40,682,4,449.32,3.19,7.83,7.1,2.61,0.0,brsticni-ohrovt-z-mandlji-in-cebulo
Široki rezanci s kremno orehovo omako,M. J.,5,15,20,1225,4,1507.83,11.28,31.03,21.03,0.77,0.0,siroki-rezanci-s-kremno-orehovo-omako
Svinjski medaljoni v kremni gobovi omaki,M. J.,10,20,30,1312,4,488.27,12.94,2.12,5.26,0.2,0.0,svinjski-medaljoni-v-kremni-gobovi-omaki
Piškoti orehi,Sanja Sirk,60,15,75,773,10,2199.78,6.86,41.33,37.41,1.96,0.2,piskoti-orehi
Tartiflette,M. J.,10,70,80,1549,4,683.04,6.06,9.22,10.67,1.29,0.05,tartiflette
Snežne kepe z vanilijevo omako,M.J.,30,15,45,1436,6,514.97,4.3,12.33,5.52,0.29,0.93,snezne-kepe-z-vanilijevo-omako
Miklavževo medeno pecivo,M.J.,35,40,75,1307,12,1308.42,5.32,62.74,4.2,0.97,0.37,miklavzevo-medeno-pecivo
Parklji,B. J.,90,25,115,1896,16,1564.86,9.45,58.74,9.72,2.28,0.14,parklji
Skutini (sirovi) štruklji z drobtinami,M. J.,30,45,75,1415,4,905.71,9.17,21.6,8.73,0.59,0.22,skutini-sirovi-struklji-z-drobtinami
Pečeno kislo zelje s kotleti in klobasami,M.J.,15,75,90,1068,4,591.58,9.49,2.86,9.23,1.14,0.18,peceno-kislo-zelje-s-kotleti-in-klobasami
Lečina pečenka,Tjaša Ribič,15,60,75,769,6,905.96,10.68,30.63,5.01,10.85,0.0,lecina-pecenka
Sladko božično drevo iz listnatega testa,Su.S.,20,20,40,964,8,1339.59,6.95,51.07,8.59,1.41,0.06,sladko-bozicno-drevo-iz-listnatega-testa-s-cokoladnim-in-mlecnim-kokosovim-namazom
Mehki medenjaki z limonino glazuro,Su.S.,165,12,177,971,8,1502.85,6.02,59.84,11.54,3.82,0.24,mehki-medenjaki-z-limonino-glazuro
Butterscotch puding,M. J.,10,10,20,1481,4,1589.0,2.23,52.3,16.9,0.0,0.64,butterscotch-puding
Pečeno zelje s sirovo omako,M. J.,5,45,50,933,4,413.96,4.17,4.3,6.77,1.56,0.0,peceno-zelje-s-sirovo-omako
Jabolčno pecivo s pudingom,Sanja Sirk,20,25,45,1366,12,363.34,1.52,17.41,0.71,0.11,0.15,jabolcno-pecivo-s-pudingom
Vratovina s kislo repo in pire krompirjem iz pečice,M. J.,15,65,80,1062,4,431.29,4.3,7.9,5.26,1.09,0.04,kisla-repa
Azijska solata s teriyaki prelivom,M. J.,25,0,25,815,4,262.09,0.59,7.73,2.38,0.79,0.0,azijska-solata-s-teriyaki-prelivom
Žličniki z jajcem,M. J.,5,15,20,1376,3,1164.57,10.02,33.51,9.61,0.82,0.82,zlicniki-z-jajcem
Piškoti s kosmiči in jabolki,M. J.,20,15,35,1198,12,1320.18,5.78,45.71,14.84,4.33,0.26,piskoti-s-kosmici-in-jabolki
Londonske rezine,M. J.,75,25,100,1028,12,1745.56,6.21,47.42,23.11,1.35,0.37,londonske-rezine
Masleni piškoti,Su.S.,30,10,40,948,10,1745.94,6.29,47.5,21.34,0.9,0.45,krhki-masleni-piskoti
Grenadirmarš,Su.S.,10,40,50,632,4,607.27,3.7,23.56,3.22,1.92,0.07,grenadirmars
Zrezki v omaki z ocvrtimi skutinimi kroglicami,Sanja Sirk,10,80,90,1334,4,562.66,12.1,9.75,3.94,0.44,0.11,zrezki-v-omaki-z-ocvrtimi-skutinimi-kroglicami
Pomarančni razpokančki,M. J.,30,14,44,1259,4,1655.11,6.08,54.51,16.02,0.92,0.37,pomarancni-razpokancki
Piščanec v omaki s kislo smetano in papriko,M. J.,5,40,45,1354,4,651.37,14.59,2.9,8.44,0.09,0.0,piscanec-v-omaki-s-kislo-smetano-in-papriko
Sladki krompir v pečici,M. J.,10,35,45,742,4,423.3,0.98,19.53,1.95,2.93,0.0,sladki-krompir-v-pecici
Rezanci alla Papalina,M. J.,5,25,30,1264,4,906.67,11.43,21.58,8.11,0.78,0.2,rezanci-alla-papalina
Zdravi mafini z jabolki,M. J.,15,25,40,1168,12,680.65,6.86,22.79,4.54,3.23,0.2,zdravi-mafini-z-jabolki
Pečena prosena kaša z brusnicami in rozinami,M. J.,10,50,60,1262,4,633.37,4.75,21.87,4.36,1.73,0.77,pecena-prosena-kasa-z-brusnicami-in-rozinami
Sailsbury zrezek v gobovi omaki,M. J.,15,15,30,1951,30,803.54,9.8,6.47,13.13,0.28,0.09,sailsbury-zrezek-v-gobovi-omaki
Kremne rezine za lene gospodinje (z zdrobom),Su.S.,30,30,60,1392,12,1036.13,4.74,33.63,9.75,0.53,0.49,kremne-rezine
Odlično testo za pico,Su. S.,20,0,20,839,4,1490.84,10.7,69.13,1.92,2.08,0.0,odlicno-testo-za-pico-testo-za-pizzo
Kokosova babka s čokolado,Kristina Turk,110,50,160,2109,12,1655.69,7.43,60.96,12.65,2.1,0.27,kokosova-babka-s-cokolado
Venec s kakiji,M. J.,10,60,70,1090,10,1773.64,7.68,41.63,25.01,1.52,0.54,cokoladni-venec-s-kakiji
Fižolova enolončnica,M.J.,15,70,85,1416,4,272.67,2.67,8.9,1.98,1.69,0.0,fizolova-enoloncnica
Bujta repa,M.J.,15,80,95,1480,8,705.59,7.96,6.81,11.37,0.78,0.98,bujta-repa
Skutin zdrobov kolač z jabolki,M. J.,15,50,65,1374,8,748.48,8.26,22.98,4.99,0.62,0.39,skutin-zdrobov-kolac-z-jabolki
Zdrav jabolčni drobljenec (crumble),M. J.,5,10,15,1238,4,390.58,1.29,13.83,3.43,1.07,0.0,pecena-jabolka-s-hrustljavim-ovsenim-posipom
Mlinci s piščancem iz pečice,Su.S.,20,40,60,859,4,621.03,9.54,11.45,6.46,0.0,0.0,mlinci-s-piscancem-iz-pecice
Kvašeni orehovi štruklji,Darinka Brožič,40,30,70,1172,8,1624.31,9.56,55.34,13.5,2.59,0.11,kvaseni-orehovi-struklji
Dušeno rdeče zelje z jabolki,T.D.,15,45,60,799,4,221.79,0.77,8.57,1.76,1.83,0.0,duseno-rdece-zelje
Brizgani piškoti,Sanja Sirk,40,10,50,1162,12,1826.86,6.32,38.95,27.16,0.84,0.42,brizgani-piskoti
Pečena raca z jabolki,M.J.,10,80,90,1148,6,1412.69,8.98,2.2,31.71,0.33,0.0,pecena-raca-z-jabolki
Rahli zdrobovi žličniki (knedlčki),M. J.,25,15,40,1083,4,1371.43,9.26,26.54,18.52,0.62,0.62,rahli-zdrobobi-zlicniki
Puranja rolada s kostanjevim nadevom,Su. S.,20,30,50,970,4,683.37,14.15,7.12,7.41,0.38,0.1,puranja-rolada-s-kostanjevim-nadevom
Dobri domači mlinci (pečeni v pečici),M. J.,60,40,100,1850,4,1497.62,10.91,71.39,0.99,1.98,0.0,dobri-domaci-mlinci-peceni-v-pecici
Zdrobov narastek,M. J.,15,45,60,1020,8,1338.88,7.73,29.36,18.37,0.52,1.03,zdrobov-narastek
Dušeno rdeče zelje s suhimi slivami,M.J.,75,15,90,798,8,391.37,1.05,18.73,1.99,1.22,0.0,duseno-rdece-zelje-s-suhimi-slivami
Česnov kruh s sirom,M. J.,10,20,30,934,4,1313.61,11.82,33.97,13.53,2.21,0.07,cesnov-kruh-s-sirom
Pečena jajca po florentinsko,M.J.,5,30,35,676,2,672.75,9.42,3.3,11.26,0.73,0.61,pecena-jajca-po-florentinsko
Kakijeva rolada,Sanja Sirk,60,15,75,1691,8,1038.85,6.63,27.51,11.74,0.69,0.61,kakijeva-rolada
Damini poljubčki (piškoti baci di dama),M. J.,160,25,185,1386,10,2233.92,8.82,42.16,38.04,4.9,0.2,damini-poljubcki-piskoti-baci-di-dama
Toskanska fižolova enolončnica z ješprenjem,M. J.,15,50,65,1485,6,786.38,7.57,27.37,4.9,5.86,0.07,toskanska-fizolova-enoloncnica-z-jesprenom
Svinjski kotleti v čebulni omaki,Su.S.,10,20,30,739,4,610.53,13.69,2.82,7.84,0.21,0.0,svinjski-kotleti-v-cebulni-omaki
Kremna juha iz hokaido buče,M. J.,10,40,50,1078,4,180.83,0.97,6.26,1.76,0.09,0.0,kremna-juha-iz-hokaido-buce-1
Nočne cimetove rolice,M. J.,75,35,110,2150,12,1731.92,7.15,57.19,16.28,1.21,0.22,nocne-cimetove-rolice
Snickers kolački (cupcakes),M. J.,41,30,71,2240,12,1792.68,8.08,51.24,21.76,2.22,0.09,snickers-kolacki-cupcakes
Buhtlji,Sanja Sirk,90,40,130,1596,8,1400.8,7.48,50.05,10.85,1.45,0.24,buhteljni
Čokoladni netopirčki,Su. S.,20,10,30,802,4,1150.77,4.37,30.33,13.37,2.57,0.51,cokoladni-netopircki
Colcannon,M.J.,10,40,50,877,6,499.78,1.68,9.78,7.83,1.74,0.11,colcannon
Pečeno kislo zelje z mletim mesom in rižem,M.J.,40,60,100,1687,6,528.61,5.76,5.63,8.35,0.98,0.04,peceno-kislo-zelje-z-mletim-mesom-in-rizem
Bučna torta,Su. S.,20,40,60,1055,8,722.83,5.09,16.08,10.23,1.02,0.0,bucna-torta
Švedske princeske (semlor),M.J.,120,15,135,2276,12,1727.57,10.67,48.4,19.15,2.95,0.29,svedski-kolacki-z-mandljevim-nadevom-in-smetano
Štefani pečenka,K.I.,20,60,80,1461,8,947.93,13.59,5.75,15.4,0.34,0.51,stefani-pecenka
Kostanjeva krema z višnjami in belo čokolado,Su.S.,25,20,45,937,6,802.11,5.68,31.11,4.26,1.29,0.0,kostanjeva-krema
Sirov burek,Sanja Sirk,25,40,65,1061,4,774.12,8.49,20.0,6.62,0.36,0.29,burek
Omleta v pečici,M. J.,5,45,50,837,4,705.0,13.88,0.86,10.32,0.25,1.35,omleta-v-pecici
Česnova juha s krompirjem,M. J.,5,35,40,1375,4,510.99,2.61,19.12,3.19,1.74,0.0,cesnova-juha
Sočen skutin narastek z rozinami,M. J.,15,40,55,1578,4,683.83,8.92,11.97,7.4,0.33,0.22,socen-skutin-narastek-z-rozinami
Belgijski vaflji,M. J.,15,20,35,1004,8,1523.73,8.4,45.01,15.21,1.11,0.48,belgijski-vaflji
V pečici pečen kostanj,M.J.,30,30,60,782,4,891.19,2.0,45.0,2.0,8.0,0.0,v-pecici-pecen-kostanj
Hitro čokoladno pecivo s skuto,Su.S.,15,45,60,595,8,929.22,8.55,35.23,4.16,0.77,0.38,hitro-cokoladno-pecivo-s-skuto-1
Ričet s prekajenim mesom,M.J.,20,100,120,1573,6,697.22,10.5,25.86,1.64,5.04,0.0,ricet
Jabolčne rožice,M. J.,20,30,50,1224,8,952.82,4.64,42.06,3.95,1.03,0.0,jabolcne-rozice
Kinder rezine,Kristina Turk,290,0,290,1375,12,1794.06,5.66,32.21,30.56,2.24,0.06,kinder-rezine
Skutin narastek z jabolki,Su.S.,15,40,55,799,5,639.94,6.07,24.56,2.6,1.44,0.39,skutin-narastek-z-jabolki
Granola s suhim sadjem,Sanja Sirk,25,10,35,924,4,1697.41,9.31,52.76,23.1,20.69,0.0,granola
Ješprenjčkova rižota z gobami,M.J.,15,60,75,1202,4,792.99,7.08,24.98,6.79,5.51,0.0,jesprenjckova-rizota-z-gobami
Nevidna jabolčna pita,M. J.,15,40,55,859,6,443.59,2.5,12.35,4.41,0.51,0.15,nevidna-jabolcna-pita
Pirin kruh brez gnetenja s semeni,M. J.,15,45,60,1576,4,1431.51,11.98,70.4,1.28,7.28,0.0,pirin-kruh-brez-gnetenja-z-bucnimi-semeni
Čija puding s karameliziranimi jabolki,M. J.,25,5,30,1151,4,783.16,2.9,20.11,10.99,4.35,0.0,cija-puding-s-karameliziranimi-jabolki
Ješprenjčkova enolončnica z jurčki,M. J.,15,55,70,1838,4,418.36,1.05,10.84,5.24,1.22,0.7,jesprenjckova-enoloncnica-z-jurcki
Bučni njoki z žajbljem,Sanja Sirk,20,35,55,1196,4,433.09,3.08,19.17,1.36,0.7,0.0,bucni-njoki-z-zajbljem
Pečena svinjska ribica z medom in gorčico,M.J.,5,30,35,992,4,476.98,14.71,6.14,2.43,0.29,0.0,pecena-svinjska-ribica-z-medom-in-gorcico
Dušeno sladko zelje,M.J.,12,35,47,912,4,287.19,1.07,6.24,4.19,2.05,0.0,duseno-zelje
Pečene mesne kroglice s sirom in paradižnikovo omako,M. J.,15,45,60,1126,4,657.1,9.84,5.8,9.67,0.51,0.11,pecene-mesne-kroglice-s-sirom-in-paradiznikovo-omako
Jabolčna pita s kislo smetano,M.J.,50,40,90,1583,8,1472.81,5.61,49.32,13.73,0.59,0.44,jabolcna-pita-s-kislo-smetano
Angelske solze,Sanja Sirk,15,60,75,1202,12,1006.71,7.87,31.0,8.43,0.28,0.42,angelske-solze
Česnovi polžki,M.J.,70,30,100,1712,12,1615.15,9.61,52.4,13.97,2.56,0.26,cesnovi-polzki
Ranch omaka,M. J.,5,0,5,641,4,816.21,1.26,4.29,17.67,0.0,0.0,ranch-omaka
Piščančja jetrca v omaki,Su. S.,10,15,25,627,4,531.83,10.38,1.75,7.26,0.25,0.0,piscancja-jetrca-v-gorcicni-omaki
Jesenska ovsena kaša,Tjaša Ribič,10,7,17,587,1,530.57,4.72,24.77,4.13,5.31,0.0,jesenska-ovsena-kasa
Harmonika krompirček,Su.S.,20,40,60,870,4,288.7,1.0,15.0,0.0,2.0,0.0,harmonika-krompircek
Piščančja piccata,M. J.,10,15,25,1298,4,1007.59,16.49,4.23,16.21,0.14,0.0,piscancji-zrezki-v-masleni-omaki-z-limono-in-kaprami-piscancja-piccata
Goveji zrezki v gobovi omaki,M. J.,10,100,110,1162,4,743.83,13.39,15.98,6.39,0.15,0.0,goveji-zrezki-v-gobovi-omaki
Pica kocke,Su.S.,10,30,40,1036,4,1022.95,8.21,19.55,14.0,0.64,0.16,pica-kocke
Čokoladna torta z višnjami,M. J.,13,50,63,1916,12,1372.31,4.9,32.58,19.67,1.87,0.47,cokoladna-torta-z-visnjami
Dušena jabolka s praženimi lešniki in smetano,M. J.,30,30,60,1934,4,538.06,1.46,16.14,6.25,0.94,0.0,dusena-jabolka-s-prazenimi-lesniki-in-smetano
Pečen fižol s feto,M. J.,10,20,30,730,4,464.21,5.7,14.57,2.88,3.27,0.0,pecen-fizol-s-feto-v-pecici
Pecivo Louise,M. J.,15,30,45,1239,12,1557.16,4.98,54.52,14.85,0.52,0.31,pecivo-louise
Piščanec z lisičkami in špinačo v smetanovi omaki,M. J.,10,20,30,1528,4,484.47,10.29,2.6,6.56,1.02,0.0,piscanec-z-lisickami-in-spinaco-v-kremni-smetanovi-omaki
Prebranec s slanino,M. J.,5,135,140,1345,4,1099.56,15.46,40.64,3.86,9.97,0.0,prebranec-s-slanino
Ocvrte paprike s šunko in sirom,Su.S.,30,30,60,763,4,451.37,7.02,4.3,5.96,1.26,0.13,ocvrte-paprike-s-sunko-in-sirom
Pavlova s pečenimi hruškami,M.J.,25,90,115,1796,8,794.42,1.86,41.32,2.21,1.42,0.0,pavlova-s-pecenimi-hruskami
Bučna rolada s kislo smetano,Su.S.,30,12,42,1159,8,1085.92,9.45,13.83,18.3,0.77,0.77,bucna-rolada-s-kislo-smetano
