Ime jedi,Avtor,Cas priprave,Cas kuhanja,Skupen cas,Dolzina navodil,Stevilo oseb,Energijska vrednost,Beljakovine,Ogljikovi hidrati,Mascobe,Vlaknine,Vitamin D,CSV
Pica kruhki,Su.S.,125,20,145,1357,8,1705.98,10.85,50.52,16.62,1.61,0.13,pica-kruhki
Mousse iz bele čokolade,M. J.,10,10,20,1033,8,2101.12,16.88,49.56,25.05,5.45,0.0,mousse-iz-bele-cokolade
Čokoladni drip (za dekoriranje tort),M. J.,5,0,5,723,10,2517.39,3.33,50.83,42.5,5.83,0.0,cokoladni-drip-za-dekoriranje-tort
Zdrobovi cmoki,M.J.,30,25,55,553,4,743.37,6.17,18.41,7.74,0.67,0.79,zdrobovi-cmoki-1411996512
Mesne kroglice v kremni paradižnikovi omaki,M. J.,15,30,45,1172,4,927.63,12.99,5.77,15.15,0.31,0.21,mesne-kroglice-v-kremni-paradiznikovi-omaki
Toskanska fižolova juha,M.J.,15,40,55,1238,4,315.06,3.42,12.39,1.12,2.58,0.0,toskanska-fizolova-juha
Skutina pita po babičino,M. J.,45,30,75,1544,12,1216.5,7.57,35.56,12.19,0.48,0.24,skutina-pita-po-babicino
Palačinka iz pečice s pestom in pršutom,M. J.,10,25,35,1014,2,1045.71,11.14,13.61,14.85,0.25,0.99,palacinka-iz-pecice-s-pestom-in-prsutom
Magično limonino pecivo,Su.S.,15,55,70,635,8,1432.69,6.51,35.38,18.65,0.3,0.89,magicno-limonino-pecivo-pecivo-iz-ene-mase
Zimska juha s piščancem,M.J.,10,55,65,914,4,460.66,9.76,6.71,4.01,0.97,0.0,zimska-juha-s-piscancem
Brownie s kremnim nadevom in višnjami,M. J.,25,45,70,1658,12,1259.76,3.81,29.75,17.94,1.0,0.25,brownie-cheesecake-z-visnjami
Krompirjeve ladjice,Su.S.,10,50,60,869,4,532.16,2.44,11.89,7.02,1.56,0.0,krompirjeve-ladjice-pecen-krompir-s-sirom-slanino-in-smetano
Veganske bananine palačinke s kosmiči,M. J.,10,15,25,1361,2,979.52,7.75,37.73,13.14,7.07,0.0,veganske-bananine-palacinke-s-kosmici
Ledene kocke,M. J.,40,40,80,2457,10,1082.86,4.19,28.73,13.4,0.8,0.8,ledene-kocke
Mehka svinjska vratovina iz pečice,Su.S.,30,180,210,1462,4,721.07,10.76,2.31,12.52,0.73,0.0,mehka-svinjska-vratovina-iz-pecice
Pražena svinjska jetra s čebulo,M.J.,10,10,20,805,4,599.32,16.67,3.46,5.5,0.31,0.0,prazena-svinjska-jetra-s-cebulo
Krostata z rikoto,M. J.,120,45,165,2291,12,1219.3,8.14,31.31,13.46,0.56,0.38,krostata-z-rikoto
Piščanec z bulgurjem in zelenjavo,Su.S.,10,50,60,930,4,666.64,12.07,18.06,3.76,4.65,0.0,piscanec-z-bulgurjem-in-zelenjavo
Domač čokoladni puding,M.J.,20,10,30,1288,6,1763.1,5.28,47.78,21.85,3.36,0.48,razkosen-cokoladni-puding
Pečena začinjena cvetača z jogurtovo omako,M. J.,10,39,49,1116,4,259.2,1.41,4.38,3.68,1.41,0.0,pecena-zacinjena-cvetaca-z-jogurtovo-omako
Nadevane piščančje prsi s pršutom,M.J.,20,35,55,1145,4,804.46,15.21,1.89,12.8,0.43,0.09,piscancje-prsi-z-nadevom-iz-rikote-suhih-paradiznikov-in-spinace
Ajdova kaša z mlekom,M. J.,0,30,30,639,2,1418.29,10.43,72.36,1.96,9.78,0.0,ajdova-kasa-z-mlekom
Testenine z lečo in korenčkom,M. J.,5,50,55,1175,4,1070.94,7.71,46.14,3.37,2.24,0.0,testenine-z-leco-in-korenckom
Prekajena rebra s kislim zeljem,M.J.,10,55,65,935,4,640.78,5.99,4.22,11.9,1.38,0.77,prekajena-rebra-s-kislim-zeljem
Piščanec z garam masalo in arašidovim maslom,T. G.,5,40,45,849,2,785.38,10.42,4.46,13.73,1.03,0.0,piscanec-z-garam-masalo-in-arasidovim-maslom
Hitra limonina sladica (brez kuhanja in peke),M. J.,25,0,25,1528,12,1294.57,8.15,60.87,3.07,2.92,0.0,hitra-limonina-sladica-brez-kuhanja-in-peke
